"What topics does '🕉️ Philosophy & Doctrine — The Eternal Foundation' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/00-Index.md — covers: 📜 Contents
"What topics does 'Top K Frequent Elements' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/01-Arrays-and-Hashing/05-Top-K-Frequent-Elements.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Count + sort; Approach 2 — Min-heap of size k; Approach 3 — Bucket sort (optimal, O(n)) ⭐; Approach 4 — Quickselect (O(n) average, in place-ish); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Product of Array Except Self' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/01-Arrays-and-Hashing/06-Product-of-Array-Except-Self.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Division (what NOT to do, and why); Approach 2 — Prefix and suffix arrays; Approach 3 — O(1) extra space (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Longest Consecutive Sequence' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/01-Arrays-and-Hashing/07-Longest-Consecutive-Sequence.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (expand each element); Approach 2 — Sort, then scan; Approach 3 — Hash set with sequence-start check (optimal) ⭐; Approach 4 — Union-Find (alternative O(n·α)); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Valid Sudoku' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/01-Arrays-and-Hashing/08-Valid-Sudoku.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Three separate passes; Approach 2 — One pass with three sets (optimal) ⭐; Approach 3 — Bitmask sets (micro-optimization); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does '🗂️ Two Pointers — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/02-Two-Pointers/00-Index.md — covers: 📋 Problems; 🎯 The pattern family
"What topics does 'Valid Palindrome' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/02-Two-Pointers/01-Valid-Palindrome.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Clean + reverse compare; Approach 2 — Two pointers in-place (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Two Sum II – Input Array Is Sorted' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/02-Two-Pointers/02-Two-Sum-II-Sorted.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (all pairs); Approach 2 — Binary search for complement; Approach 3 — Two pointers (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does '3Sum' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/02-Two-Pointers/03-3Sum.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (all triples); Approach 2 — Sort + hash set for pair; Approach 3 — Sort + two pointers (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Container With Most Water' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/02-Two-Pointers/04-Container-With-Most-Water.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (all pairs); Approach 2 — Two pointers (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Trapping Rain Water' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/02-Two-Pointers/05-Trapping-Rain-Water.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (per-bar scan); Approach 2 — Prefix/suffix arrays; Approach 3 — Monotonic stack; Approach 4 — Two pointers (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does '🗂️ Sliding Window — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/00-Index.md — covers: 📋 Problems; 🎯 The pattern family
"What topics does 'Best Time to Buy and Sell Stock' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/01-Best-Time-Buy-Sell-Stock.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (all pairs); Approach 2 — One-pass min-tracking (optimal) ⭐; Approach 3 — Kadane's variant (max subarray on deltas); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Longest Substring Without Repeating Characters' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/02-Longest-Substring-Without-Repeating.md — covers: 📜 Problem Statement; Approach 1 — Brute force; Approach 2 — Sliding window + hash set; Approach 3 — Sliding window + last-index map (optimal) ⭐; 🧪 Edge cases; 🔗 Related
"What topics does 'Longest Repeating Character Replacement' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/03-Longest-Repeating-Char-Replacement.md — covers: 📜 Problem Statement; Approach — Sliding window + max frequency ⭐; 🧪 Edge cases
"What topics does 'Permutation in String' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/04-Permutation-In-String.md — covers: 📜 Problem Statement; Approach — Fixed-size sliding window ⭐; 🧪 Edge cases
"What topics does 'Minimum Window Substring' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/05-Minimum-Window-Substring.md — covers: 📜 Problem Statement; Approach 1 — Brute force; Approach 2 — Variable sliding window (optimal) ⭐; 🧪 Edge cases
"What topics does 'Sliding Window Maximum' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/06-Sliding-Window-Maximum.md — covers: 📜 Problem Statement; Approach 1 — Brute force; Approach 2 — Max-heap; Approach 3 — Monotonic deque (optimal) ⭐; 🧪 Edge cases; 🔗 Related
"What topics does '🗂️ Stack — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/00-Index.md — covers: 📋 Problems; 🎯 The pattern family
"What topics does 'Valid Parentheses' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/01-Valid-Parentheses.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (repeated removal); Approach 2 — Stack (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Min Stack' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/02-Min-Stack.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Two stacks (auxiliary min-stack); Approach 2 — Single stack of pairs (optimal) ⭐; Approach 3 — Space-optimized min-stack (push to min-stack only when min changes); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Evaluate Reverse Polish Notation' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/03-Evaluate-RPN.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (find and reduce); Approach 2 — Stack evaluation (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Generate Parentheses' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/04-Generate-Parentheses.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (generate all, filter valid); Approach 2 — Backtracking with open/close counts (optimal) ⭐; Approach 3 — Iterative / DP (build from smaller solutions); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Daily Temperatures' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/05-Daily-Temperatures.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (scan right for each day); Approach 2 — Monotonic decreasing stack (optimal) ⭐; Approach 3 — Backward traversal (space optimization); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Car Fleet' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/06-Car-Fleet.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (simulation); Approach 2 — Sort + stack of arrival times (optimal) ⭐; Approach 3 — Sort + counter (no explicit stack); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Largest Rectangle in Histogram' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/04-Stack/07-Largest-Rectangle-Histogram.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (check every pair of boundaries); Approach 2 — Two-pass with left/right boundary arrays; Approach 3 — Single-pass monotonic increasing stack with sentinel (optimal) ⭐; Approach 4 — Divide and conquer; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does '🗂️ Binary Search — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/00-Index.md — covers: 📋 Problems; 🎯 The pattern family
"What topics does 'Binary Search' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/01-Binary-Search.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Linear scan (baseline); Approach 2 — Classic binary search (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Search a 2D Matrix' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/02-Search-2D-Matrix.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Brute force (scan every cell); Approach 2 — Staircase search (row then column); Approach 3 — Flattened binary search (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Koko Eating Bananas' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/03-Koko-Eating-Bananas.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Linear scan over speeds (baseline); Approach 2 — Binary search on the answer (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Find Minimum in Rotated Sorted Array' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/04-Find-Minimum-Rotated-Sorted-Array.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Linear scan (baseline); Approach 2 — Pivot binary search (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Search in Rotated Sorted Array' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/05-Search-Rotated-Sorted-Array.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Linear scan (baseline); Approach 2 — Find pivot, then binary search (two-pass); Approach 3 — One-pass sorted-half search (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Time Based Key-Value Store' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/06-Time-Based-Key-Value-Store.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Linear scan back from the end (baseline); Approach 2 — Binary search for the predecessor timestamp (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Median of Two Sorted Arrays' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/07-Median-of-Two-Sorted-Arrays.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Merge fully, then take the middle (baseline); Approach 2 — Merge halfway (no extra array); Approach 3 — Partition binary search (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does '🗂️ Linked List — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/00-Index.md — covers: 📋 Problems; 🧩 The `ListNode` definition; 🎯 The pattern family
"What topics does 'Reverse Linked List' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/01-Reverse-Linked-List.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Iterative three-pointer reversal (optimal) ⭐; Approach 2 — Recursion; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Merge Two Sorted Lists' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/02-Merge-Two-Sorted-Lists.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Iterative merge with a dummy head (optimal) ⭐; Approach 2 — Recursion; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Linked List Cycle' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/03-Linked-List-Cycle.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Hash set of visited nodes; Approach 2 — Floyd's tortoise & hare (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Reorder List' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/04-Reorder-List.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Array / deque buffer (warm-up); Approach 2 — Middle + reverse + merge (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Remove Nth Node From End of List' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/05-Remove-Nth-Node-From-End.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Two passes (compute length, then delete); Approach 2 — One pass, two pointers with a fixed gap (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Copy List With Random Pointer' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/06-Copy-List-With-Random-Pointer.md — covers: 📜 Problem Statement; 🧠 The node; 🧠 Understanding the problem; Approach 1 — Hash map (two passes) ⭐; Approach 2 — Interleaving (O(1) extra space) ⭐⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Add Two Numbers' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/07-Add-Two-Numbers.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Elementary addition with carry (optimal) ⭐; Approach 2 — Recursion; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Find the Duplicate Number' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/08-Find-The-Duplicate-Number.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Sort or hash set (violates constraints, but instructive); Approach 2 — Floyd's cycle detection (optimal) ⭐; Approach 3 — Binary search on the value range; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'LRU Cache' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/09-LRU-Cache.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Hash map + doubly linked list (optimal) ⭐; Approach 2 — Built-in ordered map (language shortcut); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Merge K Sorted Lists' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/10-Merge-K-Sorted-Lists.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Sequential merge (warm-up, suboptimal); Approach 2 — Min-heap of current heads (optimal) ⭐; Approach 3 — Divide & conquer (pairwise merge); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Reverse Nodes in K-Group' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/11-Reverse-Nodes-In-K-Group.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Recursion; Approach 2 — Iterative with a dummy node (O(1) space) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does '🌳 Trees — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/00-Index.md — covers: 📋 Problems; 🧱 The TreeNode definition; 🎯 The pattern family
"What topics does 'Invert Binary Tree' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/01-Invert-Binary-Tree.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Recursive swap (optimal) ⭐; Approach 2 — Iterative BFS (queue); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Maximum Depth of Binary Tree' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/02-Maximum-Depth.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Recursive DFS (optimal) ⭐; Approach 2 — Iterative BFS (level counting); Approach 3 — Iterative DFS (explicit stack); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Diameter of Binary Tree' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/03-Diameter-of-Binary-Tree.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Height per node, recompute (brute force); Approach 2 — Single-pass height + global best (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Balanced Binary Tree' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/04-Balanced-Binary-Tree.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Top-down (height inside check) — O(n²); Approach 2 — Bottom-up sentinel (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Same Tree' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/05-Same-Tree.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Recursive lockstep comparison (optimal) ⭐; Approach 2 — Iterative with paired queue/stack; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Subtree of Another Tree' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/06-Subtree-of-Another-Tree.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Same-Tree probe at every node (optimal-enough) ⭐; Approach 2 — Serialization + substring search; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Lowest Common Ancestor of a Binary Search Tree' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/07-Lowest-Common-Ancestor-BST.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Iterative BST walk (optimal) ⭐; Approach 2 — Recursive BST walk; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Binary Tree Level Order Traversal' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/08-Binary-Tree-Level-Order-Traversal.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — BFS with level-size snapshot (optimal) ⭐; Approach 2 — DFS with explicit level index; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Binary Tree Right Side View' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/09-Binary-Tree-Right-Side-View.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — BFS, last node of each level (optimal) ⭐; Approach 2 — DFS, right child first; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Count Good Nodes in Binary Tree' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/10-Count-Good-Nodes.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — DFS carrying path maximum (optimal) ⭐; Approach 2 — Iterative DFS with explicit (node, max) stack; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Validate Binary Search Tree' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/11-Validate-BST.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Recursive interval bounds (optimal) ⭐; Approach 2 — Iterative in-order, check monotonicity (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Kth Smallest Element in a BST' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/12-Kth-Smallest-in-BST.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — In-order to a list, index k-1 (brute-ish); Approach 2 — Iterative in-order with early stop (optimal) ⭐; Approach 3 — Augmented BST (follow-up: frequent queries with updates); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Construct Binary Tree from Preorder and Inorder Traversal' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/13-Construct-Tree-Preorder-Inorder.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Recursion with linear search for the root (brute force); Approach 2 — Hash map of inorder indices (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Binary Tree Maximum Path Sum' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/14-Binary-Tree-Maximum-Path-Sum.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Single-pass gain with global best (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Serialize and Deserialize Binary Tree' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/07-Trees/15-Serialize-Deserialize-Binary-Tree.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Preorder DFS with null markers (optimal) ⭐; Approach 2 — BFS level-order with null markers; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does '🗂️ Tries — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/08-Tries/00-Index.md — covers: 📋 Problems; 🎯 The pattern family
"What topics does 'Implement Trie (Prefix Tree)' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/08-Tries/01-Implement-Trie.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Hash set of words (baseline, fails `startsWith`); Approach 2 — Array-of-26 trie (optimal) ⭐; Approach 3 — Hash-map trie (memory-friendly variant); ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Design Add and Search Words Data Structure' cover, and where does it live?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/08-Tries/02-Add-And-Search-Word.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Store words in a list, match with wildcard scan (baseline); Approach 2 — Trie + DFS for wildcards (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems"
"What topics does 'Word Search II' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/08-Tries/03-Word-Search-II.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — DFS the board once per word (baseline); Approach 2 — Trie + single board DFS (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does '🗂️ Heap / Priority Queue — Problem Set' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/09-Heap-Priority-Queue/00-Index.md — covers: 📋 Problems; 🧱 The heap primitives in each language; 🎯 The pattern family
"What topics does 'Kth Largest Element in a Stream' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/09-Heap-Priority-Queue/01-Kth-Largest-In-Stream.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Re-sort after each add (baseline); Approach 2 — Min-heap of size k (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Last Stone Weight' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/09-Heap-Priority-Queue/02-Last-Stone-Weight.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Sort every round (baseline); Approach 2 — Max-heap simulation (optimal) ⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'K Closest Points to Origin' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/09-Heap-Priority-Queue/03-K-Closest-Points.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Sort by squared distance (baseline); Approach 2 — Max-heap of size k ⭐; Approach 3 — Quickselect (optimal average) ⭐⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
"What topics does 'Kth Largest Element in an Array' cover, and where does it live?",DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/09-Heap-Priority-Queue/04-Kth-Largest-Element-In-Array.md — covers: 📜 Problem Statement; 🧠 Understanding the problem; Approach 1 — Sort and index (baseline); Approach 2 — Min-heap of size k ⭐; Approach 3 — Quickselect (optimal average) ⭐⭐; ⚖️ Approach comparison; 🧪 Edge cases & pitfalls; 🔗 Related problems
